,m/z,I,normalised_intensity
485,8595.61145,4463639,0.006524433248204301
487,8596.65902,4666856,0.0068386201769455104
492,8599.59817,7686340,0.011506942238304651
495,8601.5996,11225164,0.016978198304065287
497,8602.57922,10278283,0.015514257623544444
503,8608.66182,6323796,0.009400359055624257
506,8610.60729,5006724,0.007364078593797532
512,8616.5132,5556097,0.008213445603463772
515,8619.54897,4342840,0.00633767000101037
522,8626.54213,9725459,0.014659555139527703
525,8628.53565,7214556,0.010777532956653792
528,8630.5964,4055485,0.005893400156910564
531,8633.1384,3658868,0.005280204031012869
535,8636.38758,3499287,0.005033481245638364
539,8639.63637,3530252,0.0050813551845729586
541,8642.30639,2616013,0.003667881195952744
544,8645.64582,3352659,0.00480678465535573
548,8647.55316,3242373,0.004636275201800402
550,8649.3465,3412885,0.00489989803647231
554,8652.88193,2268103,0.0031299893149666362
558,8656.25389,2829428,0.003997834907489206
564,8661.5854,14436170,0.021942626050314832
566,8662.59831,14741340,0.022414439063221995
568,8663.58255,12197177,0.01848099471955478
571,8665.60008,7587658,0.011354373336578712
576,8670.60444,1936358,0.0026170895936084215
582,8678.60665,3379540,0.004848344460054611
588,8684.57072,3454046,0.004963535666069819
592,8688.69465,2620365,0.0036746096759218503
594,8690.66376,2028450,0.0027594699192782
598,8695.66032,1909790,0.002576013707620554
600,8698.83255,2091247,0.0028565582365162345
603,8701.65165,2280621,0.0031493429712748312
605,8703.65093,2676002,0.0037606281593871834
608,8705.83528,2568598,0.0035945744685319855
612,8709.55993,1983071,0.0026893109825782816
616,8719.05166,1691522,0.0022385569369641318
619,8727.58419,1927005,0.002602629236726288
621,8729.70573,1772511,0.0023637712899553763
626,8740.44396,2364217,0.0032785879187696276
630,8744.69769,5002924,0.007358203542353919
632,8746.73191,5588627,0.008263739135953433
634,8747.69093,5143537,0.007575600544627781
636,8748.73671,3976788,0.00577172938757952
639,8751.691,3359714,0.004817692152180648
641,8754.5125,2021449,0.002748645910026429
645,8764.59615,1903458,0.0025662240166360924
647,8766.6167,2229548,0.00307038073380651
651,8769.66913,1972927,0.002673627687356175
653,8771.61629,1614730,0.00211983142368574
657,8779.72944,1591523,0.002083951866093131
659,8780.63078,1769473,0.002359074340932825
662,8784.4467,1645253,0.0021670220013734723
665,8792.67271,2000446,0.002716173882271115
667,8793.71325,1610500,0.002113291563789298
673,8808.51766,1559384,0.002034262845475694
677,8815.64877,2594293,0.0036343006387539907
680,8816.62623,3532461,0.0050847704447411005
682,8817.61607,4035945,0.005863190023961041
684,8819.58105,4410489,0.006442259831302196
690,8825.67114,1422062,0.0018219539469652337
692,8830.62138,1334709,0.0016869004288721076
694,8832.64667,1522889,0.0019778391606244737
699,8837.81379,1369129,0.0017401160264218813
704,8843.67418,1057803,0.0012587854301760674
709,8848.85019,1982499,0.002688426632729401
711,8849.88428,1587367,0.002077526415093222
713,8855.82972,1283936,0.0016084020112545983
716,8860.73955,3236736,0.004627560026803654
719,8863.97349,2705706,0.0038065525088822006
725,8867.24041,1682128,0.002224033191369054
729,8870.49763,1918855,0.0025900287974459086
732,8872.67017,1877694,0.0025263911678484
741,8890.67497,1095861,0.0013176256164500156
745,8902.94704,7868969,0.011789298756750836
747,8903.98043,6910974,0.010308175096823594
749,8905.03986,6137641,0.009112551107864868
751,8906.06884,9025915,0.013578013827140746
753,8907.10422,4250107,0.006194298646926024
755,8908.16244,3507088,0.005045542107825632
757,8909.20459,3295457,0.00471834657833533
761,8911.7128,1043614,0.0012368482972988522
764,8917.72484,936523,0.0010712785251546675
766,8925.15413,913450,0.0010356061404287542
768,8930.53959,843430,0.0009273505872493479
770,8934.14896,954748,0.0010994555810914667
773,8936.27688,925957,0.001054942790009086
776,8940.6917,1730705,0.002299136447678623
779,8944.70918,1789714,0.0023903682662670778
781,8946.99623,934637,0.0010683626443592324
783,8948.72579,1030208,0.0012161217342322552
785,8951.04638,1790843,0.0023921137749722985
788,8953.91426,1925783,0.002600739943867316
790,8954.95782,6646828,0.009899787902448736
793,8956.00114,8452040,0.012690765104192562
796,8957.04358,10850383,0.016398762079041992
799,8958.09515,9472835,0.014268981719556347
803,8959.14918,7122848,0.010635746320393052
805,8959.56933,1849487,0.0024827812794089325
807,8960.17523,6118603,0.00908311710013237
810,8961.23666,3783886,0.00547349013137538
813,8962.28312,3610767,0.005205836702199921
815,8963.34089,2500591,0.003489431146551524
818,8964.37828,1800628,0.0024072420324396005
820,8965.84774,1143905,0.0013919048194913095
822,8966.88392,1015671,0.0011936465703280988
824,8968.83883,1129124,0.0013690524154418263
827,8971.21548,836092,0.0009160055536984982
829,8974.59779,749142,0.000781575100271629
832,8976.85867,764558,0.000805409256338663
834,8981.06377,1249459,0.00155509828793317
836,8981.92769,1592983,0.0020862091227004135
838,8982.94504,1338880,0.0016933490708645569
841,8984.92283,1873157,0.0025193766656379604
846,8991.01331,1034801,0.0012232228161481796
849,8993.36153,1593898,0.002087623773245389
852,8997.13325,2040711,0.0027784262365808665
855,9004.66105,1163832,0.0014227132800483794
858,9009.87965,816439,0.0008856207152718363
861,9016.0598,1898902,0.002559180139168435
864,9022.95966,868250,0.0009657239495731533
869,9025.00023,1591164,0.0020833968283383267
872,9026.06495,1967577,0.0026653562333500366
875,9027.10201,3945477,0.005723320509750322
877,9028.15297,7575765,0.011335985971626375
880,9030.27241,2866822,0.0040556485058266915
884,9031.56992,1722795,0.002286907064278893
886,9033.45147,1220581,0.001510450989094054
889,9034.98064,966914,0.0011182650221080428
892,9041.89922,770535,0.0008146500938329977
896,9046.10538,816486,0.0008856933803817967
898,9048.43128,627440,0.0005934157553267542
901,9052.86496,1032803,0.0012201337759417748
905,9055.85377,896218,0.0010089643281981412
907,9057.09105,862742,0.0009572082171122541
910,9060.90316,998206,0.0011666445246800222
913,9062.39737,729105,0.0007505965724359282
915,9065.0409,867300,0.0009642551867122503
919,9069.906,789221,0.0008435398862738773
923,9080.79398,937937,0.001073464662718159
925,9083.55151,678773,0.0006727799699991117
928,9086.27414,1324186,0.0016706311745718092
930,9089.47785,2134427,0.0029233173737097046
934,9092.6794,1368344,0.0017389023644789248
936,9093.68023,1050378,0.0012473058888684825
939,9095.88839,1018923,0.0011986743775108956
943,9103.2604,977545,0.0011347012515546334
946,9107.14706,770204,0.0008141383459309356
949,9110.37746,1186815,0.0014582465188190492
952,9113.04518,887828,0.0009959928330371126
954,9114.16527,681499,0.000676994546376819
957,9117.10005,3152235,0.004496915889425576
961,9120.43015,665366,0.0006520518608663453
963,9121.43418,875822,0.000977430762607636
966,9124.36524,829934,0.0009064848782275074
969,9126.51314,1034189,0.001222276623652524
972,9128.56298,800508,0.0008609903351275757
975,9130.90741,1095574,0.0013171818954594058
980,9140.45553,884639,0.0009910624280229862
983,9144.4727,1723350,0.002287765131002894
986,9150.28726,803657,0.0008658588974949271
990,9166.24329,847946,0.0009343326220702304
992,9166.73888,1232383,0.0015286976620249788
994,9167.79738,805715,0.0008690407016714941
998,9169.4842,1082725,0.0012973164912491487
1002,9171.63275,1373777,0.0017473021419771209
1005,9175.56653,819651,0.0008905866798078581
1009,9178.78745,757712,0.0007948248873431445
1012,9181.99274,778060,0.0008262842417575196
1014,9185.3797,835233,0.000914677482859008
1016,9187.4646,758733,0.000796403420902073
1018,9189.68163,722107,0.0007397772013826649
1020,9192.75244,987151,0.001149552763177618
1023,9195.57964,840364,0.0009226103483740541
1026,9199.08713,1687492,0.002232326290301564
1028,9202.60534,2018489,0.0027440695541650884
1032,9215.88785,990141,0.0011541755010240394
1035,9219.5228,768421,0.000811381709950946
1040,9228.26631,2994722,0.0042533903688893315
1042,9231.47333,3775119,0.005459935769268499
1045,9234.80608,2835469,0.00400717469321838
1048,9237.98606,1685670,0.0022295093577409685
1052,9241.30035,1816181,0.0024312879995718384
1055,9244.54923,1186839,0.001458283624407114
1061,9257.97762,5061802,0.007449232826274185
1063,9259.06588,7388828,0.011046969000122538
1066,9260.14962,7206934,0.010765748840310842
1069,9261.23265,8903457,0.013388685656171826
1071,9262.32492,3909236,0.0056672895257061226
1073,9263.39358,13602965,0.020654435987663484
1075,9264.47988,3774420,0.005458855069016107
1077,9265.57166,2537559,0.0035465861207008573
1081,9267.18906,3194675,0.004562530937653711
1084,9268.43062,1123453,0.0013602846741953194
1088,9270.91581,1629956,0.002143371827180594
1092,9276.54621,936090,0.0010706090785033296
1095,9283.28534,916268,0.0010399629548940438
1097,9293.6766,1441874,0.0018525846099128258
1099,9297.19845,2735224,0.0038521892900697146
1105,9313.9306,1089995,0.0013085563923004812
1109,9327.677,1139526,0.0013851345957356309
1112,9341.50493,1288736,0.0016158231288675824
1115,9342.54523,1584775,0.0020735190115822107
1117,9343.74962,1913792,0.0025822010644303795
1124,9355.21112,1016246,0.0011945355583754876
1126,9356.6749,1190450,0.0014638664693447153
1128,9357.31772,1242983,0.0015450859634203189
1131,9360.89531,2193772,0.0030150686705310683
1134,9361.99378,4159232,0.006053799883784371
1136,9363.0858,7025043,0.010484533318697654
1139,9364.18497,8990311,0.013522967687246437
1141,9365.27481,8756171,0.013160971754349746
1145,9366.36937,8295565,0.012448844400340124
1148,9368.56187,4906290,0.0072088009841428545
1150,9369.66128,4101850,0.005965083514853484
1152,9370.75992,2036304,0.0027716127229724455
1156,9373.80824,2232173,0.003074439157501111
1160,9376.81817,3260883,0.004664892886595473
1162,9377.63658,1195036,0.0014709567287974539
1165,9379.83579,3232241,0.004620610459372328
1167,9382.83385,1647788,0.0021709412791128297
1171,9386.01415,1599024,0.002095548908429588
1173,9389.33467,1324678,0.0016713918391271399
1177,9393.71112,1174928,0.0014398684302637278
1179,9401.33332,1173977,0.0014383981213366552
1184,9430.15331,1079964,0.0012930478025555137
1186,9433.07079,1258626,0.0015692710765078002
1188,9436.1587,1243426,0.0015457708707333506
1191,9438.17654,1263791,0.0015772565082726052
1193,9452.3131,1127129,0.00136596801343393
1196,9455.2467,1184634,0.0014548745485036495
1198,9474.49121,1466221,0.0018902266829385185
1202,9482.08845,1452636,0.001869223374027604
1204,9488.01703,1246598,0.0015506749926225975
1206,9493.06347,1284300,0.0016089647793402493
1210,9501.10844,3048406,0.004336389385125882
1212,9502.2276,3452994,0.00496190920445964
1214,9503.32203,2467593,0.0034384140550945967
1216,9503.77098,1598208,0.0020942873184353807
1218,9504.43555,3379302,0.0048479764963063
1220,9505.54706,2822713,0.003987453073161875
1223,9506.66272,2649941,0.0037203361289471874
1227,9508.01431,3780923,0.005468909137315532
1230,9509.12976,2863806,0.004050985570259866
1232,9510.24966,2288593,0.0031616682107770623
1235,9512.49171,2997275,0.004257337475819738
1238,9513.59971,3722445,0.005378498279863014
1242,9514.70662,5697312,0.008431773337571596
1244,9515.68762,6560495,0.00976631137184837
1246,9516.3519,6471449,0.009628640363730496
1248,9516.80808,6853368,0.010219112409070768
1257,9520.2164,2051775,0.002795531912678795
1259,9524.63753,1505723,0.0019512993887610393
1261,9527.29082,1475917,0.0019052173405167464
1264,9528.92964,1721935,0.002285577447373233
1267,9531.35013,1813568,0.00242724812867127
1274,9536.29726,2505956,0.003497725791550203
1276,9537.37069,2466120,0.003436136699627112
1282,9542.28917,2034957,0.0027695301718423018
1286,9545.80376,2115325,0.0028937844177423667
1288,9547.74107,1656183,0.002183920504604705
1291,9549.35126,2592143,0.003630976596489842
1293,9550.24877,2414203,0.0033558695823118416
1295,9551.17374,2006000,0.0027247607337758054
1298,9552.89377,2526972,0.0035302179181657192
1301,9555.72163,1873243,0.0025195096273285264
1305,9558.3986,1744593,0.002320608214638857
1307,9562.85211,1908792,0.002574470733583521
1312,9566.4384,1796837,0.0024013808955915122
1315,9569.49473,2229575,0.0030704224775930833
1317,9570.67276,1973618,0.0026746960190792107
1319,9571.89668,1699766,0.002251302706464432
1322,9574.67932,1338392,0.0016925945905739033
1325,9580.12408,1966653,0.002663927668209537
1328,9585.3798,2346185,0.003250709253603517
1332,9592.94762,4543014,0.00664715225039818
1335,9596.96149,6923808,0.010328017310041309
1338,9600.47322,1528602,0.0019866718366500944
1340,9600.97424,4400058,0.00642613281508948
1343,9604.99691,1968990,0.0026675408248473587
1348,9612.92151,2446021,0.0034050623156889103
1350,9614.05627,5733664,0.008487975934960597
1352,9615.17961,7207940,0.010767304182877229
1355,9616.2979,4741289,0.006953698520130354
1358,9617.43251,8505802,0.012773884713590323
1361,9618.55833,7616387,0.011398790271558592
1363,9619.69599,4296930,0.006266690103174515
1365,9620.81031,4261299,0.006211602219493632
1367,9621.93528,2888958,0.004089872226551904
1370,9624.18192,1791204,0.0023926719048594416
1372,9629.54792,1856793,0.002494076838842362
1376,9630.63786,2138117,0.0029290223578746864
1381,9631.73713,2336897,0.0032363493910223928
1383,9632.0933,2241886,0.003089456098204218
1388,9633.04556,2818600,0.003981094103007249
1390,9633.5565,2394600,0.003325562047193648
1393,9634.3446,2370676,0.0032885739601575996
1396,9634.94871,2650741,0.0037215729818826848
1401,9636.08033,2166191,0.0029724266195136273
1405,9637.52946,2856247,0.004039298856085585
1410,9638.8539,2752962,0.003879613411782029
1414,9639.81771,3806521,0.005508485339119109
1416,9640.128,1768996,0.0023583368673700347
1419,9640.96336,2884612,0.004083153022979814
1421,9642.09067,2167101,0.0029738335397277555
1423,9643.07155,2525742,0.0035283162567773915
1426,9644.1542,3014803,0.004284436923636485
1429,9650.88703,1993058,0.002704751545411797
1433,9655.5252,2970644,0.0042161641876632
1437,9657.55088,2970782,0.0042163775447945735
1441,9660.95609,4125283,0.006001312483400371
1445,9664.38756,2004383,0.002722260744779931
1447,9664.96206,1815542,0.00243030006328961
1450,9668.96625,1980370,0.0026851350578548086
1453,9694.63419,2213945,0.0030462574633658038
1456,9716.02582,1452909,0.0018696454500918426
1459,9746.48545,1453579,0.0018706813144253214
1461,9755.10362,1770615,0.002360839948498248
1465,9760.16895,1768241,0.0023571695874121594
1468,9766.36638,2120207,0.0029013323127812392
1470,9767.43814,2170693,0.0029793870094081388
1474,9769.93851,5553862,0.008209990145575226
1478,9771.32348,6529925,0.009719048129050676
1480,9772.46597,6742430,0.010047594920373009
1482,9772.94297,2575987,0.0036059983514574725
1484,9773.60794,6016113,0.008924660778433464
1487,9775.90429,6213318,0.00922955275736441
1489,9777.03734,2097710,0.002866550462168884
1493,9780.47319,2174668,0.002985532622431391
1495,9782.31974,2469206,0.003440907859825793
1498,9783.43348,2127627,0.002912804123757977
1500,9784.03603,1786173,0.0023848936459613325
1504,9785.01218,2921398,0.004140026613086321
1507,9785.56439,2736693,0.0038544604612725216
1509,9786.00594,2711018,0.0038147652123739027
1512,9786.7064,3067554,0.004365993460137011
1515,9787.3149,2584984,0.0036199083087833095
1518,9787.84811,3125683,0.004455864740496419
1520,9788.28059,2741514,0.003861914046275062
1525,9789.41076,2775749,0.003914843621583502
1529,9790.13533,2949006,0.004182710407890335
1532,9790.74447,3545524,0.005104966707111603
1538,9791.88467,2886766,0.0040864832495086404
1541,9792.60117,2536168,0.0035444355426592607
1543,9793.03056,2836754,0.004009161388246023
1546,9794.01813,2321786,0.003212986785137017
1549,9794.5882,1531942,0.001991835697655796
1551,9794.93608,2179411,0.002992865614272721
1554,9796.05825,1801285,0.0024082577979128777
1556,9797.23514,1646166,0.002168433559786109
1561,9806.58832,1441195,0.0018515348309838225
1564,9812.02303,1729664,0.0022975269927963072
1566,9813.3099,1669972,0.0022052392110141717
1568,9813.81413,2042402,0.002781040634473274
1571,9814.94211,1807191,0.002417388864709187
1573,9815.44129,2362967,0.003276655336057913
1575,9817.91151,2646233,0.003714603315591157
1577,9820.19268,1638810,0.0021570606970442107
1579,9824.64898,1435602,0.0018428876828985262
1582,9828.10174,1547537,0.0020159465995671475
1585,9831.58452,2026168,0.0027559417962796937
1588,9834.89523,1582222,0.002069571904651805
1592,9838.26279,1652345,0.002177986702646657
1594,9840.81636,1880362,0.0025305160723882838
1596,9842.10762,1390467,0.0017731059863439348
1601,9849.79068,2726388,0.003838528249397146
1606,9852.43391,2080691,0.002840237962032347
1608,9854.39546,1622045,0.002131140897714694
1611,9856.70935,2058999,0.002806700694686336
1615,9858.85721,2981917,0.004233592991590527
1617,9859.95907,3752935,0.005425637837367157
1619,9861.20938,1856606,0.0024937877244686894
1623,9865.76888,1760241,0.0023448010580571855
1627,9871.63274,1382940,0.001761468746287074
1629,9876.95847,5130847,0.007555980964938455
1631,9880.98175,4985833,0.007331779725453187
1635,9884.96336,3756834,0.005431665949361537
1641,9896.72979,1489642,0.001926437098691373
1643,9897.74685,2208983,0.003038585883033381
1647,9901.27996,1805622,0.0024149630868894427
1650,9902.47695,2008134,0.0027280600389812445
1653,9904.84278,1461282,0.0018825906621279915
1655,9908.32223,1441854,0.0018525536885894381
1658,9916.16529,1378542,0.001754669147274177
1662,9922.96462,1395980,0.001781629449135681
1668,9938.07011,3284580,0.004701530016611074
1670,9941.55992,6701328,0.009984048508679493
1672,9945.11086,2829107,0.003997338620248837
1677,9948.61321,2543810,0.0035562505803255996
1679,9949.42052,1217134,0.0015051216990082297
1682,9952.12414,1543610,0.0020098751977200248
1684,9957.56002,3843837,0.005566178344295383
1686,9961.28459,2537837,0.0035470159270959423
1691,9968.95088,2550318,0.0035663123789558705
1693,9970.12852,4137621,0.006020387847798079
1695,9971.30051,6166105,0.009156558335309864
1698,9972.4693,7731972,0.01157749232974542
1701,9973.63182,8069248,0.01209894334308643
1703,9974.79977,7218582,0.010783757419051684
1706,9975.97616,4376616,0.006389889931947068
1708,9977.1424,3987127,0.005787714165704654
1711,9978.4965,3206025,0.00458007878867608
1713,9979.66243,2903410,0.004112215974831663
1716,9980.82775,2730358,0.003844666132089551
1718,9981.99109,2004033,0.0027217196216206513
1722,9986.78264,1223564,0.0015150629044772897
1724,9987.59441,1350928,0.0017119760760731472
1727,9991.40374,1297209,0.0016289229475206686
1729,9992.83288,2040912,0.0027787369958809103
1731,9994.05757,1499351,0.001941447855129803
1734,9995.19026,1841070,0.0024697680404613307
1736,9996.11995,2193543,0.003014714621378282
1742,9998.71426,1794625,0.0023979609972248623
1746,10000.15667,1670195,0.0022055839837699415
1749,10000.87246,1411162,0.0018051018257190818
1753,10001.9409,1771254,0.0023618278847804763
1756,10004.1226,2388626,0.0033163258478978216
1761,10008.87189,2184875,0.003001313319822168
1763,10013.62714,1640723,0.002160018321626219
1766,10016.7463,1272471,0.0015906763626227516
1768,10017.90389,1468804,0.0018942201718540055
1770,10018.84801,1698684,0.002249629862869172
1773,10021.28863,1499364,0.001941467953990005
1775,10022.4532,1447708,0.0018616043599449402
1780,10026.903,1241380,0.001542607619350816
1784,10033.87363,1954669,0.0026453996112357865
1787,10036.29554,1177741,0.0014442175143981704
1790,10038.56205,1456642,0.0018754169151021071
1793,10040.72581,1241684,0.001543077623466305
1796,10042.91628,1115793,0.0013484418073379323
1798,10048.78115,1135986,0.001379661521496055
1801,10052.29891,968147,0.001120171321694878
1803,10053.2236,987493,0.001150081517807543
1805,10057.86742,1366774,0.0017364750405930109
1807,10060.64265,1166613,0.001427012890065402
1809,10062.76194,1174616,0.0014393860576188838
1815,10069.04003,1413876,0.0018092978493027569
1821,10073.88057,1579051,0.002064669328828727
1823,10076.18382,1063422,0.0012674727759817669
1826,10079.5962,1557527,0.0020313918005991707
1828,10080.61693,1318855,0.0016623890958228883
1833,10087.65575,1053354,0.0012519069817885325
1836,10089.79916,1579313,0.0020650743981651025
1842,10094.10359,1727897,0.002294795093875027
1845,10097.90193,1424779,0.0018261546087474164
1848,10100.12483,1260666,0.0015724250514933186
1852,10104.80724,1285963,0.0016115358873799144
1856,10108.49655,1047665,0.001243111411350977
1858,10109.47805,1076989,0.0012884482557016328
1864,10117.91874,1793492,0.002396209304254964
1867,10123.12914,945179,0.0010846612739167489
1869,10125.95801,1245543,0.0015490438928139104
1871,10127.13542,1508619,0.0019557767963875395
1876,10140.08075,1190079,0.0014632928787958784
1878,10144.85133,1024605,0.0012074591254852655
1881,10149.64281,1199766,0.0014782696217785821
1885,10156.40221,914947,0.0010379206014843037
1887,10158.18023,1169435,0.001431375888795369
1889,10159.36336,1201708,0.0014812720822795018
1895,10162.99986,1297804,0.001629842856891445
1898,10173.71052,1118011,0.0013518709821015986
1901,10176.08157,4086921,0.005942002293010933
1903,10177.26963,6311625,0.009381541884276834
1907,10179.64882,5127516,0.007550831018528278
1909,10180.83857,6196695,0.009203852499430945
1913,10182.02958,4962884,0.007296299052932277
1916,10184.42364,2459254,0.003425521409308206
1921,10188.00451,947955,0.0010889531536029248
1923,10189.38838,1137232,0.001381587919943092
1926,10192.48415,1447675,0.001861553339761351
1928,10196.76097,1753219,0.0023339445814158574
1931,10201.03486,1874464,0.0025213973741213293
1935,10205.32743,1247186,0.0015515840795301882
1940,10209.89697,1117665,0.001351336043206996
1942,10211.68799,913621,0.0010358705177437168
1945,10223.90517,1191326,0.001465220823309085
1948,10227.67843,1794266,0.0023974059594700577
1951,10231.45567,1828382,0.0024501515529043428
1954,10240.48451,1307786,0.001645275689394113
1957,10242.8829,1718889,0.002280868129821327
1959,10244.21745,1450012,0.0018651664963991726
1962,10245.42573,1436997,0.0018450444452048
1965,10248.89511,1040418,0.0012319070698215402
1969,10253.36287,1218916,0.00150787678892205
1972,10255.74293,867729,0.0009649184490989108
1978,10266.13616,1680628,0.0022217140921149963
1984,10275.70524,1112794,0.0013438051548959864
1986,10279.26316,980584,0.001139399746643354
1991,10287.56456,1328737,0.0016776673217086195
