,Compound,Mass
59,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + OH,8723.543626
60,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + C₁₀H₁₄,8840.650453
61,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + P₁N₃C₆H₁₂,8863.617786
62,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Na + K,8666.59
63,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Na + OH,8644.629
64,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Na + C₁₀H₁₄,8761.735827
65,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Na + P₁N₃C₆H₁₂,8784.703160000001
66,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + K + OH,8660.603000000001
67,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + K + C₁₀H₁₄,8777.709827
68,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + K + P₁N₃C₆H₁₂,8800.677160000001
69,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + OH + C₁₀H₁₄,8755.748827000001
70,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + OH + P₁N₃C₆H₁₂,8778.716160000002
71,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + C₁₀H₁₄ + P₁N₃C₆H₁₂,8895.822987000001
72,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + Na + K,8733.525625999999
73,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + Na + OH,8711.564626
74,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + Na + C₁₀H₁₄,8828.671452999999
75,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + Na + P₁N₃C₆H₁₂,8851.638786
76,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + K + OH,8727.538626
77,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + K + C₁₀H₁₄,8844.645453
