,Compound,Mass
215,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + Na + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,9004.765613
216,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + K + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,9020.739613
217,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Na + K + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8941.824987
218,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + Na + K + OH,8806.529626
219,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + Na + K + C₁₀H₁₄,8923.636453
220,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + Na + K + P₁N₃C₆H₁₂,8946.603786
221,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + Na + OH + C₁₀H₁₄,8901.675453
222,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + Na + OH + P₁N₃C₆H₁₂,8924.642786
223,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + Na + C₁₀H₁₄ + P₁N₃C₆H₁₂,9041.749613
224,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + K + OH + C₁₀H₁₄,8917.649453
225,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + K + OH + P₁N₃C₆H₁₂,8940.616786
226,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + K + C₁₀H₁₄ + P₁N₃C₆H₁₂,9057.723613
227,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,9035.762613
228,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Na + K + OH + C₁₀H₁₄,8838.734827
229,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Na + K + OH + P₁N₃C₆H₁₂,8861.70216
230,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Na + K + C₁₀H₁₄ + P₁N₃C₆H₁₂,8978.808987
231,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Na + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8956.847987000001
232,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + K + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8972.821987000001
233,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + Na + K + OH + C₁₀H₁₄,8905.670452999999
234,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + Na + K + OH + P₁N₃C₆H₁₂,8928.637786
235,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + Na + K + C₁₀H₁₄ + P₁N₃C₆H₁₂,9045.744612999999
236,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + Na + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,9023.783613
237,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + K + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,9039.757613
238,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Na + K + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8960.842987
239,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + Na + K + OH + C₁₀H₁₄,8922.628453
240,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + Na + K + OH + P₁N₃C₆H₁₂,8945.595786
241,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + Na + K + C₁₀H₁₄ + P₁N₃C₆H₁₂,9062.702613
242,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + Na + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,9040.741613
243,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + K + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,9056.715613
244,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Na + K + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8977.800987
245,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + Na + K + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,9044.736613
246,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + Na + K + OH + C₁₀H₁₄,8941.646453
247,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + Na + K + OH + P₁N₃C₆H₁₂,8964.613786
248,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + Na + K + C₁₀H₁₄ + P₁N₃C₆H₁₂,9081.720613
249,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + Na + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,9059.759613
250,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + K + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,9075.733613
251,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Na + K + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8996.818987
252,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + Na + K + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,9063.754613
253,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + Na + K + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,9080.712613
254,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + Na + K + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,9099.730613
