m/z,intensity
389.63,16816.23076923077
389.64,14762.37037037037
389.65,20039.30769230769
389.66,17973.74074074074
389.67,19807.703703703704
389.68,12698.962962962964
389.69,13517.333333333334
389.7,18261.0
389.71,13396.74074074074
389.72,13438.851851851852
389.73,17521.25925925926
389.74,18800.703703703704
389.75,24517.384615384617
389.76,28292.59259259259
389.77,13534.888888888889
389.78,12552.037037037036
389.79,7316.592592592592
389.8,24568.59259259259
389.81,18075.59259259259
389.82,19928.25925925926
389.83,16220.777777777777
389.84,18386.85185185185
389.85,16264.692307692309
389.86,12062.814814814816
389.87,12473.814814814816
389.88,16362.222222222223
389.89,19937.962962962964
389.9,15313.925925925925
389.91,13020.851851851852
389.92,20644.88888888889
389.93,15119.76923076923
389.94,28896.222222222223
389.95,21013.62962962963
389.96,15013.666666666666
389.97,21444.037037037036
389.98,22080.40740740741
389.99,19005.40740740741
390.0,20102.30769230769
390.01,17995.333333333332
390.02,30153.296296296296
390.03,16950.037037037036
390.04,23016.037037037036
390.05,18284.40740740741
390.06,17763.88888888889
390.07,20669.346153846152
390.08,16702.037037037036
390.09,21661.037037037036
390.1,15476.481481481482
390.11,15253.407407407407
390.12,12186.74074074074
390.13,18595.59259259259
390.14,17290.23076923077
390.15,19975.59259259259
390.16,22099.11111111111
390.17,21765.11111111111
390.18,19921.777777777777
390.19,29667.222222222223
390.2,17087.923076923078
390.21,15975.37037037037
390.22,24351.11111111111
390.23,29324.59259259259
390.24,16645.333333333332
390.25,16978.962962962964
390.26,11454.961538461539
390.27,11297.851851851852
390.28,16865.62962962963
390.29,20146.74074074074
390.3,19001.962962962964
390.31,18351.884615384617
390.32,20109.777777777777
390.33,15806.666666666666
390.34,31247.62962962963
390.35,23894.85185185185
390.36,17097.59259259259
390.37,19748.346153846152
390.38,25701.185185185186
390.39,19915.40740740741
390.4,20595.037037037036
390.41,19979.333333333332
390.42,12381.384615384615
390.43,17443.62962962963
390.44,19245.62962962963
390.45,17458.666666666668
390.46,16685.85185185185
390.47,9231.615384615385
390.48,17241.555555555555
390.49,23109.333333333332
390.5,15909.925925925925
390.51,21523.85185185185
390.52,19751.076923076922
390.53,19137.25925925926
390.54,14591.185185185184
390.55,13491.25925925926
390.56,20203.0
390.57,12427.038461538461
390.58,18171.62962962963
390.59,23062.444444444445
390.6,17060.333333333332
390.61,22798.5
390.62,12738.333333333334
390.63,11892.703703703704
390.64,17030.074074074073
390.65,18044.0
390.66,18246.26923076923
390.67,20684.074074074073
390.68,19596.962962962964
390.69,14579.0
390.7,19462.46153846154
390.71,11461.518518518518
390.72,13746.407407407407
390.73,21054.333333333332
390.74,16628.346153846152
390.75,13673.666666666666
390.76,18199.074074074073
390.77,18703.925925925927
390.78,25380.46153846154
390.79,15511.851851851852
390.8,24035.037037037036
390.81,24415.85185185185
390.82,17332.30769230769
390.83,9426.777777777777
390.84,18625.88888888889
390.85,18433.59259259259
390.86,16935.384615384617
390.87,22243.777777777777
390.88,21404.85185185185
390.89,13368.185185185184
390.9,8601.692307692309
390.91,14406.037037037036
390.92,20178.25925925926
390.93,23924.666666666668
390.94,15669.807692307691
390.95,25748.48148148148
390.96,15437.851851851852
390.97,7300.444444444444
390.98,16280.576923076924
390.99,18999.037037037036
391.0,13128.74074074074
391.01,19818.076923076922
391.02,20061.59259259259
391.03,17285.0
391.04,28069.11111111111
391.05,14978.307692307691
391.06,14559.666666666666
391.07,18496.40740740741
391.08,17698.346153846152
391.09,15401.888888888889
391.1,14019.814814814816
391.11,18441.62962962963
391.12,11792.538461538461
391.13,24247.296296296296
391.14,20730.85185185185
391.15,15805.692307692309
391.16,13677.185185185184
391.17,23017.814814814814
391.18,21058.653846153848
391.19,14331.888888888889
391.2,30762.11111111111
391.21,9341.74074074074
391.22,20839.96153846154
391.23,11783.851851851852
391.24,22268.62962962963
391.25,14204.538461538461
391.26,15789.25925925926
391.27,17602.51851851852
391.28,17683.73076923077
391.29,16476.59259259259
391.3,9581.703703703704
391.31,25732.23076923077
391.32,17515.555555555555
391.33,20716.777777777777
391.34,14966.703703703704
391.35,12044.961538461539
391.36,16243.148148148148
391.37,26142.11111111111
391.38,17577.96153846154
391.39,13967.333333333334
391.4,18876.37037037037
391.41,22591.115384615383
391.42,18213.555555555555
391.43,18283.037037037036
391.44,18122.80769230769
391.45,11251.444444444445
391.46,15727.296296296296
391.47,21191.615384615383
391.48,25291.62962962963
391.49,17681.0
391.5,21551.69230769231
391.51,15706.74074074074
391.52,18743.0
391.53,12406.444444444445
391.54,21750.59259259259
391.55,9781.23076923077
391.56,15662.296296296296
391.57,16202.703703703704
391.58,22388.5
391.59,15032.666666666666
391.6,17806.14814814815
391.61,19797.076923076922
391.62,24126.59259259259
391.63,20812.74074074074
391.64,23937.19230769231
391.65,15326.888888888889
391.66,13763.076923076924
391.67,16845.777777777777
391.68,13883.703703703704
391.69,13531.115384615385
391.7,25176.555555555555
391.71,17819.40740740741
391.72,18582.653846153848
391.73,19073.555555555555
391.74,21499.14814814815
391.75,18560.346153846152
391.76,21995.777777777777
391.77,14464.846153846154
391.78,11758.444444444445
391.79,17837.074074074073
391.8,20450.69230769231
391.81,19630.51851851852
391.82,10408.307692307691
391.83,17837.777777777777
