m/z,intensity
187.6,11948.036363636364
187.7,11129.440860215054
187.8,11030.70430107527
187.9,11001.666068222621
188.0,11850.734290843806
188.1,11614.43525179856
188.2,11993.25945945946
188.3,11135.832432432433
188.4,11587.09927797834
188.5,11262.16606498195
188.6,11225.325497287522
188.7,11036.670289855072
188.8,10681.644927536232
188.9,11700.76268115942
189.0,10171.707272727273
189.1,11556.652727272727
189.2,11467.483636363637
189.3,10993.19489981785
189.4,11874.580291970802
189.5,12422.096715328467
189.6,10561.961608775136
189.7,11584.599634369288
189.8,10316.417582417582
189.9,9938.875457875458
190.0,11314.831192660551
190.1,11900.35294117647
190.2,11542.566176470587
190.3,12779.165745856353
190.4,11372.112546125461
190.5,11837.0
190.6,11931.18484288355
190.7,12872.205175600739
190.8,11540.125925925926
190.9,11604.65
191.0,12461.17439703154
191.1,10948.298701298701
191.2,10988.553903345724
191.3,12270.50557620818
191.4,10916.275605214152
191.5,11913.296641791045
191.6,11241.953358208955
191.7,11798.256074766356
191.8,12178.016822429907
191.9,11554.687265917602
192.0,12057.734082397004
192.1,10763.431519699812
192.2,11231.479323308271
192.3,10583.174812030074
192.4,10738.631578947368
192.5,12504.877589453861
192.6,10060.0
192.7,10899.91320754717
192.8,11298.608695652174
192.9,11543.474480151228
193.0,10900.95643939394
193.1,10892.774193548386
193.2,10671.366223908919
193.3,11525.485768500948
193.4,10229.920152091256
193.5,12146.540952380952
193.6,11604.003809523809
193.7,11307.324427480917
193.8,12005.559160305344
193.9,12111.08413001912
194.0,11607.267686424475
194.1,10619.45785440613
194.2,11677.318007662836
194.3,11923.969289827255
194.4,11362.576923076924
194.5,11156.651923076923
194.6,12378.332692307693
194.7,12153.001926782274
194.8,11629.557915057914
194.9,11583.907335907335
195.0,11548.640232108317
195.1,11613.622823984526
195.2,12871.277131782947
195.3,11088.93992248062
195.4,11681.920388349514
195.5,12190.545631067962
195.6,11954.369649805447
195.7,11490.842412451362
195.8,11560.428849902533
195.9,11792.615234375
196.0,10539.538011695906
196.1,12016.252446183953
196.2,10812.005870841487
196.3,11010.544031311154
196.4,10659.686274509804
196.5,12110.64047151277
196.6,12943.660117878193
196.7,11774.649606299212
196.8,10759.576771653543
196.9,11465.02559055118
197.0,11227.019723865878
197.1,10333.377470355732
197.2,10533.810276679842
197.3,11072.966336633663
197.4,10842.669306930693
197.5,11310.617063492064
197.6,9940.876984126984
197.7,11454.02380952381
197.8,11071.348605577688
197.9,11201.840954274354
198.0,11407.425149700599
198.1,10637.988047808765
198.2,12091.746
198.3,12273.97005988024
198.4,11281.496993987976
198.5,11311.09
198.6,11178.718875502009
198.7,11727.911823647295
198.8,12855.657947686117
198.9,12018.642570281125
199.0,10798.29435483871
199.1,11863.18309859155
199.2,14106.983838383838
199.3,11980.997983870968
199.4,11513.117408906883
199.5,10609.842424242424
199.6,11309.612576064908
199.7,11656.344129554656
199.8,10950.803245436105
199.9,12021.766260162602
200.0,11437.93699186992
200.1,11274.18533604888
200.2,11515.875763747454
200.3,11849.555102040817
200.4,11512.528571428571
200.5,13225.002044989775
200.6,12035.961145194275
200.7,10682.768442622952
200.8,11675.704918032787
200.9,11643.094262295082
201.0,11705.58316221766
201.1,12897.874485596707
201.2,11545.100823045268
201.3,10941.364948453609
201.4,11412.719587628866
201.5,11046.187628865979
201.6,11475.535123966942
201.7,11154.606625258799
201.8,10846.332644628099
201.9,11168.773858921162
202.0,11830.402489626556
202.1,11865.736514522821
202.2,10242.214137214138
202.3,10995.409563409563
202.4,12244.941666666668
202.5,11701.235416666666
202.6,11340.620041753653
202.7,11383.835073068894
202.8,11406.537656903765
202.9,10364.962343096235
203.0,12691.15932914046
203.1,11077.138364779874
203.2,11999.58613445378
203.3,12295.552521008403
203.4,10417.283613445377
203.5,11711.501052631578
203.6,11030.333333333334
203.7,11102.978947368421
203.8,11499.566596194503
203.9,10842.454545454546
204.0,10973.167019027484
204.1,11831.934322033898
204.2,11240.483050847457
204.3,11459.855626326964
204.4,12225.687898089172
204.5,11976.443736730362
204.6,11587.925373134329
204.7,11136.265957446809
204.8,12616.865671641792
204.9,12624.456289978678
205.0,11841.675213675213
205.1,11320.877944325483
205.2,11921.41755888651
205.3,11334.449678800856
205.4,11607.87982832618
205.5,11685.894849785407
205.6,11676.903433476395
205.7,10864.221505376345
205.8,14297.737068965518
205.9,12793.308189655172
206.0,13034.696120689656
206.1,10944.723542116632
206.2,12307.54329004329
206.3,12700.606911447085
206.4,11195.488069414318
206.5,12698.40909090909
206.6,10448.74186550976
206.7,10706.626086956521
206.8,11721.689130434783
206.9,11363.666666666666
207.0,11570.55
207.1,11133.720524017468
207.2,10938.213973799127
207.3,10723.410480349345
207.4,11797.288209606986
207.5,12359.745614035088
207.6,11372.614879649891
207.7,11109.480263157895
207.8,11179.947252747254
207.9,12699.144736842105
208.0,11863.737885462555
208.1,11755.02422907489
208.2,11530.493392070484
208.3,12733.028634361233
208.4,11112.770419426048
208.5,11997.491150442478
208.6,11835.006637168142
208.7,11793.818584070796
208.8,10410.662971175167
208.9,12221.436807095344
209.0,12234.148888888889
209.1,11714.582222222221
209.2,11484.582222222221
209.3,11621.837416481068
209.4,11151.345982142857
209.5,11362.518930957684
209.6,12125.97091722595
209.7,12070.479910714286
209.8,12060.92841163311
209.9,10857.780269058296
210.0,12078.264573991031
210.1,12549.90807174888
210.2,11391.031460674158
210.3,11297.14606741573
210.4,12382.346846846847
210.5,12444.716216216217
210.6,11444.61036036036
210.7,11498.523702031604
210.8,11067.049773755656
210.9,11424.410835214447
211.0,11433.950226244344
211.1,11327.267573696145
211.2,11412.12925170068
211.3,11924.671201814059
211.4,12024.804545454546
211.5,13884.281818181818
211.6,12801.626423690204
211.7,12491.0569476082
211.8,11175.4200913242
211.9,11454.671232876712
212.0,11694.253424657534
212.1,11849.29519450801
212.2,11874.489702517163
212.3,11475.50114416476
212.4,11166.30733944954
212.5,10691.956321839081
212.6,11952.341743119267
212.7,11363.462068965517
212.8,10851.186635944701
212.9,11614.582949308755
213.0,10833.133640552995
213.1,10865.207852193995
213.2,12169.226851851852
213.3,11294.77598152425
213.4,12581.57175925926
213.5,9829.709976798144
213.6,12683.796296296296
213.7,11166.586046511628
213.8,10797.132250580047
213.9,12128.211627906976
214.0,12326.365967365968
214.1,11607.016317016318
214.2,11259.67365967366
214.3,11692.876168224298
214.4,12012.056074766355
214.5,11933.54906542056
214.6,11528.241217798595
214.7,10958.04918032787
214.8,11439.924882629108
214.9,12051.852112676057
215.0,12109.201877934272
215.1,10598.36
215.2,11346.341176470589
215.3,10968.283018867925
215.4,12878.412735849057
215.5,10754.330188679245
215.6,10229.34278959811
215.7,11194.539007092199
215.8,11970.587677725118
215.9,12418.236966824645
216.0,10230.677725118483
216.1,11267.95486935867
216.2,10341.323040380048
216.3,12241.690476190477
216.4,11621.771428571428
216.5,10685.576190476191
216.6,11471.267303102626
216.7,11167.463007159904
216.8,12594.959427207637
216.9,12366.578947368422
217.0,12238.813397129186
217.1,11744.575539568345
217.2,11901.335731414869
217.3,15073.918465227818
217.4,17914.30769230769
217.5,12746.798076923076
217.6,12605.626506024097
217.7,10885.342168674699
217.8,10835.657831325301
217.9,12046.427536231884
218.0,11475.77536231884
218.1,10097.512077294687
218.2,12165.992736077482
218.3,11926.852300242132
218.4,11855.538834951456
218.5,12509.995145631068
218.6,11547.385922330097
218.7,12791.902676399026
218.8,11701.89294403893
218.9,10812.060975609756
219.0,12171.807785888077
219.1,11153.535452322738
219.2,12738.170731707318
219.3,11653.552567237164
219.4,11182.273838630806
219.5,11496.879901960785
219.6,11443.45588235294
219.7,12249.194103194102
219.8,11490.791154791155
219.9,11463.918918918918
220.0,11421.965601965601
220.1,12847.049261083745
220.2,12376.935960591132
220.3,12547.298765432099
220.4,11122.844444444445
220.5,12582.00495049505
220.6,13513.288888888888
220.7,12679.217821782178
220.8,11636.776674937966
220.9,12336.384615384615
221.0,12121.776674937966
221.1,10844.273631840795
221.2,10772.074626865671
221.3,12656.664179104477
221.4,11039.428927680798
221.5,11791.366583541147
221.6,12348.296758104738
221.7,12340.19
221.8,12474.6625
221.9,13895.33
222.0,11755.649122807017
222.1,10834.125628140704
222.2,11005.07769423559
222.3,11936.86432160804
222.4,12374.502512562814
222.5,10989.307304785894
222.6,10991.740554156171
222.7,12082.15113350126
222.8,13265.219696969696
222.9,12510.59595959596
223.0,11686.39240506329
223.1,12457.401515151516
223.2,11163.7417721519
223.3,13574.159898477157
223.4,12594.091370558375
223.5,11826.926395939086
223.6,16068.357868020305
223.7,17044.798982188295
223.8,13466.829081632653
223.9,12023.885496183206
224.0,10696.602040816326
224.1,10857.566326530612
224.2,11989.432225063938
224.3,13201.554987212276
224.4,12284.442455242966
224.5,11961.471794871795
224.6,12098.01282051282
224.7,11386.290488431876
224.8,12205.48717948718
224.9,11032.164524421594
225.0,11089.090206185567
225.1,12156.275773195875
225.2,12138.943298969072
225.3,11268.54381443299
225.4,11933.764857881137
225.5,12290.547803617572
225.6,10676.80829015544
225.7,12716.816537467701
225.8,12198.306493506494
225.9,12917.572538860104
226.0,11513.25974025974
226.1,11172.638961038961
226.2,12731.143229166666
226.3,12430.7890625
226.4,11463.752604166666
226.5,12505.421875
226.6,11179.464751958225
226.7,11155.66318537859
226.8,11782.068062827226
226.9,12624.10994764398
227.0,12266.497382198953
227.1,12319.574803149606
227.2,11125.685039370079
227.3,11806.010498687665
227.4,12457.055118110236
227.5,11858.628947368421
227.6,13669.277044854882
227.7,11252.505263157895
227.8,10786.192612137203
227.9,11535.036939313984
228.0,13059.550264550264
228.1,13887.513227513227
228.2,13629.767195767196
228.3,11671.920424403183
228.4,11728.11671087533
228.5,11832.2175066313
228.6,12637.944297082227
228.7,12234.029255319148
228.8,12544.353723404256
228.9,12014.242666666667
229.0,11290.514666666666
229.1,12229.021333333334
229.2,11226.919786096256
229.3,11502.098930481283
229.4,10727.764705882353
229.5,11163.486631016043
229.6,14139.742627345844
229.7,12287.174262734585
229.8,12209.0
229.9,11675.701612903225
230.0,12769.81182795699
230.1,13352.287634408602
230.2,15679.115902964959
230.3,20182.32614555256
230.4,15796.76819407008
230.5,11609.543243243243
230.6,12289.664864864864
230.7,12536.224932249323
230.8,10859.35945945946
230.9,12150.547425474255
231.0,11085.45652173913
231.1,11449.655826558266
231.2,12791.690217391304
231.3,11758.991825613079
231.4,11519.584239130434
231.5,10095.215258855585
231.6,12053.049046321526
231.7,14549.199453551913
231.8,11779.969945355191
231.9,12429.295081967213
232.0,11160.835616438357
232.1,12561.218579234972
232.2,11253.107142857143
232.3,12032.386301369863
232.4,13260.461538461539
232.5,13494.804945054944
232.6,12272.318681318682
232.7,11778.95867768595
232.8,10781.214876033058
232.9,13147.66391184573
233.0,11789.508287292818
233.1,13783.919889502762
233.2,11678.690607734807
233.3,11529.559556786704
233.4,10752.188365650969
233.5,9759.93351800554
233.6,13072.03324099723
233.7,11755.158333333333
233.8,12170.816666666668
233.9,11969.019498607242
234.0,12728.044568245125
234.1,11586.406685236769
234.2,10399.944289693593
234.3,12181.097765363129
234.4,11030.849162011173
234.5,12738.974860335196
234.6,11717.617318435754
234.7,11717.12324929972
234.8,11953.629213483146
234.9,12317.470588235294
235.0,10821.483146067416
235.1,12218.10393258427
235.2,12164.134831460675
235.3,14718.785915492957
235.4,17843.414084507043
235.5,19302.098591549297
235.6,11016.872881355932
235.7,11799.110169491525
235.8,11600.75988700565
235.9,10914.525423728814
236.0,11801.818696883853
236.1,11830.577903682719
236.2,12180.005681818182
236.3,12028.770538243625
236.4,11529.582386363636
236.5,11322.122507122507
236.6,11608.414772727272
236.7,12528.34188034188
236.8,10967.017094017094
236.9,12272.417142857143
237.0,11417.62
237.1,11952.362857142858
237.2,14158.56
237.3,14383.65329512894
237.4,13874.361031518625
237.5,12527.194842406876
237.6,13387.548850574713
237.7,12131.146131805157
237.8,11660.158501440923
237.9,12289.902298850575
238.0,11196.299711815562
238.1,10850.795389048992
238.2,9269.244956772334
238.3,10002.387283236994
238.4,11803.380403458214
238.5,10375.510144927537
238.6,11935.939306358381
238.7,11331.91884057971
238.8,10970.602898550726
238.9,11008.208695652174
239.0,11560.921511627907
239.1,10459.662790697674
239.2,11561.337209302326
239.3,13293.037790697674
239.4,11333.813411078718
239.5,12594.71137026239
239.6,13765.180758017492
239.7,12811.429824561403
239.8,10779.769005847953
239.9,10971.868421052632
240.0,10742.354838709678
240.1,10832.862573099415
240.2,11902.873900293254
240.3,12828.723529411765
240.4,10959.064516129032
240.5,11125.905882352941
240.6,12774.085545722714
240.7,11695.85
240.8,12571.230088495575
240.9,11508.79646017699
241.0,11046.654867256637
241.1,11786.065088757396
241.2,12917.30177514793
241.3,11267.952662721893
241.4,12236.568047337278
241.5,12148.727002967358
241.6,12462.52818991098
241.7,11287.53709198813
241.8,11549.16369047619
241.9,10493.6706231454
242.0,12393.97619047619
242.1,10498.940298507463
242.2,12043.41791044776
242.3,13516.764880952382
242.4,12153.284431137725
242.5,11848.856716417911
242.6,12574.778443113772
242.7,10641.862275449103
242.8,12321.43113772455
242.9,11590.726726726727
243.0,11728.675675675675
243.1,10859.0
243.2,10859.768768768768
243.3,10798.442771084337
243.4,11190.7078313253
243.5,11938.475903614459
243.6,11620.093655589124
243.7,10855.563253012047
243.8,11953.915407854985
243.9,13210.351515151515
244.0,10407.465256797583
244.1,12063.49696969697
244.2,11716.266666666666
244.3,11820.753799392098
244.4,12265.133333333333
244.5,12882.559270516716
244.6,13447.173252279636
244.7,13761.698170731708
244.8,13013.414634146342
244.9,12901.719512195123
245.0,12814.670731707318
245.1,11871.192073170732
245.2,12454.039755351681
245.3,11457.920489296635
245.4,12795.61963190184
245.5,11170.388379204893
245.6,12251.641104294478
245.7,11163.20245398773
245.8,10228.44923076923
245.9,10851.223926380368
246.0,10828.378461538461
246.1,10887.41975308642
246.2,9903.492307692308
246.3,9739.410493827161
246.4,11925.25
246.5,10783.83024691358
246.6,10948.12962962963
246.7,11961.578947368422
246.8,12523.510835913312
246.9,11822.183229813665
247.0,12746.965944272446
247.1,12318.369565217392
247.2,11255.894409937888
247.3,11044.72049689441
247.4,11256.591900311527
247.5,10830.168224299065
247.6,10675.239875389409
247.7,13120.67601246106
247.8,11267.2125
247.9,10463.54375
248.0,10795.83125
248.1,12465.971875
248.2,12889.448275862069
248.3,12712.686520376175
248.4,13233.934169278997
248.5,11132.518867924528
248.6,11399.282131661443
248.7,11706.342767295597
248.8,10913.0
248.9,12456.050314465409
249.0,11012.681388012617
249.1,10195.946372239747
249.2,11088.359621451104
249.3,12052.615141955835
249.4,11608.958860759494
249.5,12133.667721518987
249.6,10730.648734177215
249.7,13275.24126984127
249.8,12069.730158730159
249.9,11737.749206349206
250.0,10883.422222222222
250.1,11463.098412698413
250.2,11870.315286624204
250.3,10908.213375796178
250.4,12354.958598726114
250.5,10747.955271565495
250.6,10980.830670926518
250.7,12013.169329073482
250.8,9810.511182108627
250.9,11715.846645367412
251.0,10912.51923076923
251.1,11964.067307692309
251.2,9769.403846153846
251.3,11140.594855305466
251.4,11625.324758842444
251.5,10935.0
251.6,11825.987138263665
251.7,11253.003215434084
251.8,11114.112903225807
251.9,11574.616129032258
252.0,10881.970967741936
252.1,12650.346278317153
252.2,12252.653721682847
252.3,11387.330097087379
252.4,12783.935275080907
252.5,11432.40776699029
252.6,12098.574675324675
252.7,11418.577922077922
252.8,13351.194805194806
252.9,14184.227272727272
253.0,12049.820846905537
253.1,13136.462540716613
253.2,11872.179153094463
253.3,12281.751633986929
253.4,11884.70684039088
253.5,12613.009803921568
253.6,10790.71568627451
253.7,11753.095081967213
253.8,9899.209150326797
253.9,10643.23606557377
254.0,13402.606557377048
254.1,11639.47697368421
254.2,11691.934426229509
254.3,11957.309210526315
254.4,12401.703947368422
254.5,12883.282894736842
254.6,12098.739273927393
254.7,13452.409240924093
254.8,10715.508250825082
254.9,10257.953795379539
255.0,10763.138613861385
255.1,11961.496688741721
255.2,11964.208609271524
255.3,11948.913907284768
255.4,13183.907284768213
255.5,12530.156146179403
255.6,12433.691029900332
255.7,9561.691029900332
255.8,10938.223333333333
255.9,11385.787375415282
256.0,14108.5
256.1,11271.02
256.2,11861.38
256.3,12644.09364548495
256.4,11589.210702341137
256.5,12170.973244147157
256.6,11969.367892976588
256.7,12075.665551839465
256.8,13045.177852348994
256.9,10581.657718120805
257.0,12436.573825503356
257.1,11356.79797979798
257.2,10043.697986577181
257.3,11163.117845117846
257.4,10954.6632996633
257.5,12175.316498316499
257.6,11788.513513513513
257.7,11176.739864864865
257.8,11551.22972972973
257.9,14001.344594594595
258.0,12018.837288135594
258.1,11469.908783783783
258.2,11411.328813559321
258.3,11284.738983050847
258.4,11995.044217687075
258.5,11493.433898305084
258.6,11132.1462585034
258.7,11978.809523809523
258.8,11248.6462585034
258.9,11532.143344709897
259.0,12099.324232081912
259.1,11609.82252559727
259.2,10832.11604095563
259.3,11542.22866894198
259.4,11649.890410958904
259.5,10954.352739726028
259.6,11095.160958904109
259.7,13470.585616438357
259.8,119321.94158075601
259.9,259752.29553264604
260.0,68131.84192439863
260.1,19014.20274914089
260.2,11429.659793814433
260.3,10905.151724137932
260.4,11475.637931034482
260.5,15016.675862068965
260.6,13298.86551724138
260.7,10587.221453287197
260.8,11032.276816608997
260.9,12981.916955017301
261.0,12390.512110726644
261.1,10802.404844290657
261.2,10489.072916666666
261.3,12779.59375
261.4,14942.340277777777
261.5,12168.760416666666
261.6,13153.536585365853
261.7,11824.240418118467
261.8,11401.756097560976
261.9,10268.017421602788
262.0,9622.42857142857
262.1,10961.657342657343
262.2,11718.587412587412
262.3,12147.279720279721
262.4,11597.40909090909
262.5,11779.873684210526
262.6,9725.56993006993
262.7,12822.863157894737
262.8,11512.18245614035
262.9,11145.852112676057
263.0,11733.456140350878
263.1,11990.901408450703
263.2,11115.56338028169
263.3,11894.724381625441
263.4,11944.781690140846
263.5,9908.498233215547
263.6,9817.448763250883
263.7,9770.572438162544
263.8,10883.335689045936
263.9,11033.49290780142
264.0,12038.565371024735
264.1,10557.86170212766
264.2,11866.202127659575
264.3,10464.53380782918
264.4,10794.219858156028
264.5,14389.227758007117
264.6,12275.889679715303
264.7,12355.4
264.8,11208.042704626334
264.9,12558.539285714285
265.0,10887.975
