m/z,intensity
389.6,16881.151515151516
389.7,22724.7843866171
389.8,18339.111524163567
389.9,20629.07434944238
390.0,17308.425373134327
390.1,21014.851301115243
390.2,19274.805970149253
390.3,18250.84328358209
390.4,19386.402985074626
390.5,19008.283582089553
390.6,20293.9776119403
390.7,17961.858208955226
390.8,15026.149812734082
390.9,16153.90671641791
391.0,18559.404494382023
391.1,18151.187265917604
391.2,15234.77902621723
391.3,21358.49063670412
391.4,18325.99625468165
391.5,17267.154135338347
391.6,20376.719101123595
391.7,18552.83834586466
391.8,17929.251879699248
391.9,15269.229323308271
392.0,18896.676691729324
392.1,17490.127819548874
392.2,18128.271698113207
392.3,16529.27067669173
392.4,18394.13962264151
392.5,20796.411320754716
392.6,19361.73962264151
392.7,18951.075471698114
392.8,19028.535849056603
392.9,18088.615094339624
393.0,16400.848484848484
393.1,18941.12830188679
393.2,17335.265151515152
393.3,18072.511363636364
393.4,18653.75
393.5,16772.507575757576
393.6,18085.477272727272
393.7,17566.946768060836
393.8,18292.886363636364
393.9,17413.0
394.0,18818.77566539924
394.1,22163.501901140684
394.2,17581.437262357413
394.3,16520.638783269962
394.4,18682.209125475285
394.5,16904.458015267177
394.6,18570.114068441064
394.7,18131.77099236641
394.8,20243.62213740458
394.9,18780.85496183206
395.0,19799.23282442748
395.1,14698.409961685824
395.2,15074.56106870229
395.3,19045.648854961833
395.4,18629.754789272032
395.5,17373.750957854405
395.6,17728.02298850575
395.7,20569.639846743295
395.8,18665.659003831417
395.9,19627.333333333332
396.0,19984.561538461538
396.1,18625.9
396.2,18546.52490421456
396.3,17527.5
396.4,19421.426923076924
396.5,19442.492307692308
396.6,17631.419230769232
396.7,17508.64864864865
396.8,18246.626923076925
396.9,19244.714285714286
397.0,16496.552123552123
397.1,21853.76833976834
397.2,21273.903474903476
397.3,16794.91891891892
397.4,15986.776061776061
397.5,17005.058139534885
397.6,17796.517374517374
397.7,17451.457364341084
397.8,17583.701550387595
397.9,17391.875968992248
398.0,18298.593023255813
398.1,18423.678294573645
398.2,19477.74418604651
398.3,18986.49027237354
398.4,18058.182170542637
398.5,20531.350194552528
398.6,19664.918287937744
398.7,17619.610894941634
398.8,18742.143968871595
398.9,20408.1673151751
399.0,18696.081712062256
399.1,18980.20703125
399.2,19013.09765625
399.3,21677.416342412453
399.4,16225.3671875
399.5,17489.5703125
399.6,16916.796875
399.7,19356.44705882353
399.8,17457.453125
399.9,17922.803921568626
400.0,17330.32421875
400.1,17709.38039215686
400.2,16451.956862745097
400.3,19945.772549019606
400.4,18941.47450980392
400.5,17368.337254901962
400.6,18493.523622047243
400.7,18371.003921568627
400.8,18951.035433070865
400.9,20654.92125984252
401.0,18208.87401574803
401.1,16504.0
401.2,19030.047244094487
401.3,19076.30708661417
401.4,18375.426877470356
401.5,17904.88188976378
401.6,18927.162055335968
401.7,19483.355731225296
401.8,19391.758893280632
401.9,17511.652173913044
402.0,19584.363636363636
402.1,15623.509881422924
402.2,17128.488095238095
402.3,14920.675889328064
402.4,18817.380952380954
402.5,20274.559523809523
402.6,17637.535714285714
402.7,19012.63888888889
402.8,17079.43650793651
402.9,16444.916666666668
403.0,19533.821428571428
403.1,17200.529880478087
403.2,20033.22310756972
403.3,15591.89641434263
403.4,18054.650793650795
403.5,19948.376
403.6,17897.17529880478
403.7,17907.390438247014
403.8,17942.239043824702
403.9,17285.64
404.0,18934.428
404.1,17671.62549800797
404.2,18619.4
404.3,18384.776
404.4,17078.9437751004
404.5,17319.196
404.6,16735.368
404.7,17163.955823293174
404.8,19791.413654618475
404.9,16042.4
405.0,17412.38152610442
405.1,18754.32530120482
405.2,21052.004016064257
405.3,18525.459677419356
405.4,18141.41767068273
405.5,16029.84677419355
405.6,19860.38152610442
405.7,18660.100806451614
405.8,19254.9435483871
405.9,17746.907258064515
406.0,19450.641129032258
406.1,17652.09677419355
406.2,18559.157894736843
406.3,16948.927419354837
406.4,20283.275303643724
406.5,17905.668016194333
406.6,19083.927125506074
406.7,18275.052419354837
406.8,17875.09756097561
406.9,18004.137651821864
407.0,20259.615384615383
407.1,16221.666666666666
407.2,21534.14979757085
407.3,17967.422764227642
407.4,16310.170731707318
407.5,18252.48780487805
407.6,16794.357723577235
407.7,17250.260162601626
407.8,18865.43089430894
407.9,15905.05306122449
408.0,17823.577235772358
408.1,15776.395918367347
408.2,18763.4
408.3,18484.63673469388
408.4,18821.093877551022
408.5,21690.02857142857
408.6,17534.191836734695
408.7,18775.31557377049
408.8,18586.04081632653
408.9,16600.94262295082
409.0,20482.22131147541
409.1,18674.195918367346
409.2,16771.15163934426
409.3,16240.481481481482
409.4,20542.495901639344
409.5,20366.573770491803
409.6,15284.753086419752
409.7,18751.64344262295
409.8,18568.37448559671
409.9,17975.958847736627
410.0,17914.59259259259
410.1,16583.810699588477
410.2,17477.604938271605
410.3,20081.938271604937
410.4,19251.85950413223
410.5,17777.378600823045
410.6,17028.73140495868
410.7,16436.619834710742
410.8,19432.380165289258
410.9,15727.219008264463
411.0,17387.462809917357
411.1,16190.764462809917
411.2,16775.632231404958
411.3,17177.522821576764
411.4,17667.838842975205
411.5,17163.858921161827
411.6,21038.327800829877
411.7,19052.390041493774
411.8,17336.86307053942
411.9,19945.659751037343
412.0,19087.308333333334
412.1,15970.701244813277
412.2,19460.645833333332
412.3,19735.771784232365
412.4,18837.820833333335
412.5,19409.4375
412.6,19561.008333333335
412.7,16109.733333333334
412.8,17402.420833333334
412.9,20117.92050209205
413.0,17124.5625
413.1,18936.97489539749
413.2,18071.979166666668
413.3,20186.016736401674
413.4,17498.464435146445
413.5,18291.18410041841
413.6,18812.907949790795
413.7,16742.453781512606
413.8,18321.769874476988
413.9,17039.79079497908
414.0,16071.004201680673
414.1,17504.798319327732
414.2,20914.991596638654
414.3,18669.16386554622
414.4,20244.058823529413
414.5,19006.44537815126
414.6,19920.94537815126
414.7,19907.371308016878
414.8,18506.73949579832
414.9,20186.61181434599
415.0,20849.270042194094
415.1,18842.32911392405
415.2,18023.936708860758
415.3,18336.679324894514
415.4,20762.42194092827
415.5,21488.991561181436
415.6,19766.03813559322
415.7,18215.15611814346
415.8,16246.39406779661
415.9,19150.021186440677
416.0,17814.991525423728
416.1,17356.665254237287
416.2,17440.283898305086
416.3,18272.716101694914
416.4,17545.021186440677
416.5,17444.191489361703
416.6,19818.881355932204
416.7,15570.017021276595
416.8,19086.6
416.9,21232.434042553192
417.0,17845.47659574468
417.1,17412.536170212767
417.2,18151.017021276595
417.3,17287.24358974359
417.4,15888.080851063829
417.5,17113.260683760684
417.6,16354.111111111111
417.7,19572.79574468085
417.8,18000.089743589742
417.9,17753.91452991453
418.0,19425.909871244636
418.1,20525.905982905984
418.2,18741.880341880344
418.3,17957.38197424893
418.4,19860.021367521367
418.5,18826.37339055794
418.6,19446.62660944206
418.7,19375.210300429186
418.8,17770.38197424893
418.9,17422.549356223175
419.0,17414.31330472103
419.1,20387.44827586207
419.2,17973.703862660943
419.3,18127.875
419.4,18417.077586206895
419.5,16857.012875536482
419.6,18594.91379310345
419.7,16848.30172413793
419.8,18028.593073593074
419.9,21167.254310344826
420.0,16596.935344827587
420.1,20119.320346320346
420.2,19395.991379310344
420.3,17584.839826839827
420.4,19551.073593073594
420.5,17131.099567099565
420.6,19714.493506493505
420.7,18450.91774891775
420.8,19555.41991341991
420.9,15348.865217391305
421.0,19597.965367965367
421.1,18104.534782608695
421.2,14852.541125541125
421.3,16312.4
421.4,18390.373913043477
421.5,17915.21304347826
421.6,18280.630434782608
421.7,18244.2096069869
421.8,19324.08260869565
421.9,18194.93913043478
422.0,15437.07423580786
422.1,15922.222707423582
422.2,18850.2
422.3,18905.144104803494
422.4,16137.53711790393
422.5,15747.679824561403
422.6,19476.192139737992
422.7,20362.10480349345
422.8,19939.872807017542
422.9,18858.052401746725
423.0,16545.5
423.1,16181.214912280702
423.2,17284.83406113537
423.3,15884.701754385966
423.4,17160.666666666668
423.5,16199.162995594714
423.6,16303.491228070176
423.7,19041.530701754386
423.8,19694.31718061674
423.9,18143.60792951542
424.0,17323.464912280702
424.1,19637.568281938326
424.2,18003.59471365639
424.3,19031.563876651984
424.4,16660.502202643172
424.5,16164.849557522124
424.6,17995.39207048458
424.7,17821.52422907489
424.8,20504.61504424779
424.9,22682.04424778761
425.0,17892.880530973453
425.1,18567.30837004405
425.2,20716.973451327434
425.3,18477.68888888889
425.4,17200.982300884956
425.5,18166.699115044248
425.6,19838.551111111112
425.7,19111.61504424779
425.8,17223.18666666667
425.9,19577.484444444446
426.0,18333.58407079646
426.1,20045.47111111111
426.2,19348.355555555554
426.3,18045.035714285714
426.4,18169.49777777778
426.5,21068.01777777778
426.6,18507.36160714286
426.7,16559.884444444444
426.8,18774.754464285714
426.9,18527.866071428572
427.0,16533.678571428572
427.1,15956.799107142857
427.2,17926.04464285714
427.3,18771.227678571428
427.4,18257.946188340808
427.5,16924.9375
427.6,16707.35874439462
427.7,17406.928571428572
427.8,19727.878923766817
427.9,18603.071748878923
428.0,19380.892376681615
428.1,18506.838565022423
428.2,15351.614349775784
428.3,20076.7533632287
428.4,20399.432432432433
428.5,18019.79820627803
428.6,17596.855855855854
428.7,18172.5067264574
428.8,19449.463963963964
428.9,15059.981981981982
429.0,18560.256756756757
429.1,17471.40990990991
429.2,18318.247747747748
429.3,19871.97737556561
429.4,15844.887387387387
429.5,16660.176470588234
429.6,18801.833333333332
429.7,16258.547511312217
429.8,17486.23076923077
429.9,16174.488687782805
430.0,21802.972850678732
430.1,19996.095022624435
430.2,19271.257918552037
430.3,17145.877272727274
430.4,15931.18552036199
430.5,18394.854545454546
430.6,18451.217194570138
430.7,16881.0
