m/z,intensity
187.6,11471.701818181818
187.7,11428.385304659498
187.8,10935.102150537634
187.9,10710.982046678635
188.0,10918.786355475762
188.1,11347.359712230216
188.2,10891.216216216217
188.3,10929.207207207208
188.4,10818.220216606498
188.5,10719.330324909748
188.6,11966.162748643761
188.7,10583.882246376812
188.8,11139.940217391304
188.9,11610.77536231884
189.0,11642.787272727273
189.1,11754.605454545455
189.2,10230.852727272728
189.3,11541.907103825137
189.4,11980.067518248175
189.5,11499.797445255474
189.6,11237.54113345521
189.7,12131.606946983547
189.8,11003.21794871795
189.9,11402.78205128205
190.0,11521.96513761468
190.1,12072.314338235294
190.2,11748.345588235294
190.3,11084.843462246778
190.4,11081.935424354244
190.5,15862.08103130755
190.6,13531.802218114603
190.7,12297.569316081332
190.8,11746.87037037037
190.9,11670.587037037038
191.0,12200.055658627087
191.1,10199.486085343227
191.2,12424.24907063197
191.3,11700.291821561339
191.4,12100.50279329609
191.5,11980.505597014926
191.6,9819.561567164179
191.7,10610.947663551402
191.8,11351.216822429906
191.9,12167.827715355805
192.0,11529.565543071161
192.1,11773.508442776736
192.2,11863.575187969926
192.3,11957.016917293233
192.4,10714.83082706767
192.5,11470.951035781543
192.6,10339.905660377359
192.7,11834.622641509433
192.8,11425.80718336484
192.9,11390.487712665406
193.0,11691.922348484848
193.1,10916.417457305502
193.2,11115.237191650855
193.3,11744.87476280835
193.4,12183.716730038022
193.5,10581.274285714286
193.6,10358.020952380952
193.7,12460.538167938932
193.8,13105.954198473282
193.9,12307.416826003824
194.0,12074.933078393882
194.1,11137.768199233717
194.2,12817.71264367816
194.3,10878.531669865642
194.4,11814.301923076922
194.5,10335.938461538462
194.6,11290.13076923077
194.7,11255.585741811175
194.8,12045.953667953669
194.9,16478.49420849421
195.0,12889.899419729207
195.1,10427.344294003868
195.2,12297.166666666666
195.3,11417.170542635658
195.4,12610.60582524272
195.5,13009.866019417475
195.6,12070.607003891051
195.7,10912.933852140079
195.8,12546.996101364522
195.9,10390.580078125
196.0,10463.947368421053
196.1,10664.847358121331
196.2,10949.859099804306
196.3,12456.424657534246
196.4,11408.025490196078
196.5,11726.711198428291
196.6,11028.041257367388
196.7,10865.476377952757
196.8,12119.088582677165
196.9,12510.187007874016
197.0,11217.623274161735
197.1,12155.49604743083
197.2,11671.124505928854
197.3,10238.833663366337
197.4,13513.09900990099
197.5,13555.948412698413
197.6,12079.801587301587
197.7,10650.545634920634
197.8,11106.374501992032
197.9,11265.644135188866
198.0,11995.70259481038
198.1,10769.16733067729
198.2,11022.56
198.3,11421.67864271457
198.4,10910.158316633266
198.5,12106.828
198.6,10735.624497991968
198.7,11948.286573146293
198.8,12807.859154929578
198.9,10710.409638554216
199.0,12393.627016129032
199.1,10915.12676056338
199.2,13160.389898989899
199.3,10937.25
199.4,10283.04858299595
199.5,10637.822222222223
199.6,10534.750507099392
199.7,11465.13967611336
199.8,10488.139959432048
199.9,12027.310975609756
200.0,10860.166666666666
200.1,11622.26883910387
200.2,9586.028513238289
200.3,11653.418367346938
200.4,11111.310204081632
200.5,13309.609406952964
200.6,13166.296523517383
200.7,11780.85450819672
200.8,11839.551229508197
200.9,11838.22950819672
201.0,11020.924024640657
201.1,11011.024691358025
201.2,10553.267489711934
201.3,11694.39793814433
201.4,11100.131958762886
201.5,11675.771134020619
201.6,12138.169421487602
201.7,11589.513457556935
201.8,11026.977272727272
201.9,11421.551867219918
202.0,11229.690871369294
202.1,11325.504149377593
202.2,11484.054054054053
202.3,9388.16424116424
202.4,12007.24375
202.5,11003.945833333333
202.6,10690.29853862213
202.7,10050.847599164927
202.8,10946.866108786611
202.9,10614.859832635982
203.0,11765.14465408805
203.1,11302.006289308176
203.2,10806.97268907563
203.3,11918.224789915967
203.4,11020.588235294117
203.5,10991.88
203.6,10480.654008438818
203.7,11638.235789473683
203.8,10724.361522198731
203.9,11587.479915433403
204.0,10927.01268498943
204.1,12408.59533898305
204.2,13258.226694915254
204.3,13411.67728237792
204.4,10866.685774946922
204.5,11276.363057324841
204.6,12607.462686567163
204.7,10431.029787234043
204.8,10869.10447761194
204.9,11926.889125799573
205.0,10698.747863247863
