m/z,intensity
389.6,46660.621212121216
389.7,44642.5092936803
389.8,35837.95167286245
389.9,43242.62453531598
390.0,45250.17537313433
390.1,36985.71003717472
390.2,43301.52985074627
390.3,39654.89179104478
390.4,41771.21641791045
390.5,38322.14179104478
390.6,42090.12686567164
390.7,41832.798507462685
390.8,43912.93632958802
390.9,44304.432835820895
391.0,41766.996254681646
391.1,40584.1872659176
391.2,43836.636704119854
391.3,40526.50936329588
391.4,33194.93258426966
391.5,42314.26691729324
391.6,42048.19850187266
391.7,42473.515037593985
391.8,41620.74812030075
391.9,37159.76691729324
392.0,40714.16541353383
392.1,39763.47368421053
392.2,39223.660377358494
392.3,40566.082706766916
392.4,39662.05283018868
392.5,34361.09056603774
392.6,34699.264150943396
392.7,45958.68679245283
392.8,45263.47924528302
392.9,37670.76603773585
393.0,39537.26515151515
393.1,38485.0679245283
393.2,39137.72348484849
393.3,38713.23863636364
393.4,45399.746212121216
393.5,36530.40151515151
393.6,42139.628787878784
393.7,40267.5247148289
393.8,39286.708333333336
393.9,49412.14828897338
394.0,41019.855513307986
394.1,37955.77946768061
394.2,44618.28136882129
394.3,41150.665399239544
394.4,37011.55513307985
394.5,43028.87404580152
394.6,48033.6463878327
394.7,36139.74427480916
394.8,44258.29770992367
394.9,45022.04198473282
395.0,43191.103053435116
395.1,42795.64750957854
395.2,45580.236641221374
395.3,37440.740458015265
395.4,39709.7816091954
395.5,38542.78927203065
395.6,41507.444444444445
395.7,43834.63218390805
395.8,39707.06130268199
395.9,38156.402298850575
396.0,42407.77307692308
396.1,36653.157692307694
396.2,39566.226053639846
396.3,37980.31153846154
396.4,37357.41923076923
396.5,33388.519230769234
396.6,44565.692307692305
396.7,39580.7027027027
396.8,41143.11538461538
396.9,42236.100386100385
397.0,42985.76833976834
397.1,44734.274131274135
397.2,45476.40540540541
397.3,43854.976833976834
397.4,37080.88030888031
397.5,39839.03488372093
397.6,39295.142857142855
397.7,37319.07751937985
397.8,39664.375968992244
397.9,38677.42248062015
398.0,33807.37984496124
398.1,41706.81007751938
398.2,45719.98062015504
398.3,40999.06614785992
398.4,41478.46511627907
398.5,36779.070038910504
398.6,41286.167315175095
398.7,43069.68093385214
398.8,36000.28015564202
398.9,36371.198443579764
399.0,43580.47859922179
399.1,38273.28515625
399.2,42241.12890625
399.3,40004.474708171205
399.4,39232.36328125
399.5,38078.83203125
399.6,39484.41015625
399.7,40568.592156862745
399.8,43195.09375
399.9,41000.18823529412
400.0,38479.55859375
400.1,41317.72549019608
400.2,47194.33725490196
400.3,33776.788235294116
400.4,39419.98823529412
400.5,37393.549019607846
400.6,39104.69291338583
400.7,40166.09411764706
400.8,40231.90551181103
400.9,43380.52362204724
401.0,40643.66141732284
401.1,38259.81496062992
401.2,41932.73228346457
401.3,41000.88188976378
401.4,40193.517786561264
401.5,40003.425196850396
401.6,43629.80632411067
401.7,47214.37944664032
401.8,34044.18577075099
401.9,40971.45849802371
402.0,38991.34782608696
402.1,44231.62055335968
402.2,38443.14682539683
402.3,41467.786561264824
402.4,43232.75793650794
402.5,42737.52380952381
402.6,39186.30952380953
402.7,39751.9246031746
402.8,37803.94841269841
402.9,42552.833333333336
403.0,41269.21428571428
403.1,32833.47011952191
403.2,45444.53784860558
403.3,40567.386454183266
403.4,41629.9246031746
403.5,44790.7
403.6,52099.681274900395
403.7,43396.24701195219
403.8,41442.282868525894
403.9,44668.62
404.0,35951.644
404.1,43526.35059760956
404.2,35371.972
404.3,37664.636
404.4,41947.40562248996
404.5,33433.88
404.6,33258.0
404.7,39482.152610441764
404.8,38999.23694779116
404.9,37545.244
405.0,37163.100401606425
405.1,40913.04016064257
405.2,38328.413654618475
405.3,43854.39112903226
405.4,41961.46184738956
405.5,42465.70161290323
405.6,39859.36546184739
405.7,43996.032258064515
405.8,40372.959677419356
405.9,44797.5120967742
406.0,41563.270161290326
406.1,46482.47580645161
406.2,43850.1943319838
406.3,37474.854838709674
406.4,42947.94331983806
406.5,44130.79352226721
406.6,41656.65587044534
406.7,43007.64112903226
406.8,42563.85365853659
406.9,41307.6963562753
407.0,39124.31578947369
407.1,40630.849593495936
407.2,37638.113360323885
407.3,39913.09756097561
407.4,42105.365853658535
407.5,44378.34146341463
407.6,36824.67479674797
407.7,36149.48780487805
407.8,43714.86178861788
407.9,40160.31428571429
408.0,43701.10569105691
408.1,37200.102040816324
408.2,35848.04489795918
408.3,40235.65714285714
408.4,32427.632653061224
408.5,38724.55918367347
408.6,46816.6693877551
408.7,43613.62704918033
408.8,43196.885714285716
408.9,41943.352459016394
409.0,40997.41393442623
409.1,41044.885714285716
409.2,37629.66803278688
409.3,43185.300411522636
409.4,37503.770491803276
409.5,43311.83196721312
409.6,39851.0987654321
409.7,43133.512295081964
409.8,38793.78189300412
409.9,43181.10699588477
410.0,38965.21810699588
410.1,40454.24279835391
410.2,44145.55967078189
