m/z,intensity
187.6,18990.741818181818
187.7,19595.1917562724
187.8,19405.467741935485
187.9,18701.937163375223
188.0,19446.452423698385
188.1,18273.0035971223
188.2,18355.434234234235
188.3,19194.126126126128
188.4,19166.04151624549
188.5,19238.95848375451
188.6,19714.17902350814
188.7,18394.193840579712
188.8,18008.282608695652
188.9,18843.61231884058
189.0,20051.365454545456
189.1,18926.82909090909
189.2,20303.37818181818
189.3,18900.09836065574
189.4,19376.974452554743
189.5,18892.344890510947
189.6,17443.14625228519
189.7,17527.511882998173
189.8,17260.67948717949
189.9,17697.714285714286
190.0,18650.144954128442
190.1,17076.805147058825
190.2,19350.207720588234
190.3,18555.773480662985
190.4,17787.431734317342
190.5,17606.43093922652
190.6,19653.42144177449
190.7,20495.251386321626
190.8,16968.183333333334
190.9,18959.296296296296
191.0,19888.48979591837
191.1,19458.983302411874
191.2,19745.802973977694
191.3,17882.039033457248
191.4,21179.001862197394
191.5,20316.628731343284
191.6,17867.363805970148
191.7,18717.83925233645
191.8,18362.014953271027
191.9,19272.387640449437
192.0,19517.750936329587
192.1,17923.87617260788
192.2,18087.453007518798
192.3,17986.016917293233
192.4,19449.20112781955
192.5,18195.128060263654
192.6,18342.677358490568
192.7,19472.596226415095
192.8,19643.907372400758
192.9,17401.610586011342
193.0,17571.04356060606
193.1,20245.18406072106
193.2,19179.82542694497
193.3,17023.129032258064
193.4,18610.809885931558
193.5,17023.649523809523
193.6,19986.137142857144
193.7,18220.793893129772
193.8,19412.213740458013
193.9,20217.0
194.0,16928.927342256215
194.1,17564.81417624521
194.2,19233.72796934866
194.3,20551.30518234165
194.4,19026.578846153847
194.5,17822.776923076923
194.6,19201.936538461538
194.7,18791.327552986513
194.8,19397.07722007722
194.9,17580.8166023166
195.0,17797.15667311412
195.1,18788.84332688588
195.2,18886.972868217053
195.3,18073.06395348837
195.4,19424.867961165048
195.5,22943.893203883494
195.6,18640.511673151752
195.7,18227.27626459144
195.8,19740.06237816764
195.9,17626.17578125
196.0,17802.884990253413
196.1,19966.367906066534
196.2,18228.945205479453
196.3,20483.780821917808
196.4,19743.90588235294
196.5,20173.206286836936
196.6,18190.21807465619
196.7,18453.509842519685
196.8,19420.185039370077
196.9,20153.48622047244
197.0,19155.323471400396
197.1,18081.606719367588
197.2,18512.958498023716
197.3,17808.00198019802
197.4,18948.736633663368
197.5,16970.75396825397
