m/z,intensity
375.2,26093.0
375.21,29881.214285714286
375.22,24200.035714285714
375.23,26406.678571428572
375.24,28456.071428571428
375.25,31155.535714285714
375.26,26428.35714285714
375.27,27681.10714285714
375.28,30245.59259259259
375.29,31312.785714285714
375.3,17508.5
375.31,17129.5
375.32,16256.107142857143
375.33,29569.0
375.34,20556.60714285714
375.35,32229.14285714286
375.36,22313.14285714286
375.37,26659.964285714286
375.38,13597.67857142857
375.39,24646.14285714286
375.4,17699.428571428572
375.41,29786.814814814814
375.42,10075.892857142857
375.43,13933.035714285714
375.44,22592.464285714286
375.45,28111.75
375.46,23804.964285714286
375.47,14970.17857142857
375.48,34726.857142857145
375.49,24917.678571428572
375.5,20198.428571428572
375.51,17451.5
375.52,30622.296296296296
375.53,14077.285714285714
375.54,22948.464285714286
375.55,18169.964285714286
375.56,30580.321428571428
375.57,26470.035714285714
375.58,25595.0
375.59,23512.39285714286
375.6,22491.071428571428
375.61,21115.59259259259
375.62,28662.25
375.63,15728.464285714286
375.64,17351.071428571428
375.65,23269.964285714286
375.66,26654.285714285714
375.67,21296.64285714286
375.68,24472.678571428572
375.69,18839.5
375.7,20924.444444444445
375.71,20937.071428571428
375.72,30395.714285714286
375.73,26386.714285714286
375.74,24482.535714285714
375.75,24266.428571428572
375.76,16086.07142857143
375.77,7084.148148148148
375.78,26890.714285714286
375.79,30387.39285714286
375.8,22929.428571428572
375.81,19052.285714285714
375.82,21339.928571428572
375.83,32855.32142857143
375.84,16869.14814814815
375.85,22078.035714285714
375.86,32657.75
375.87,25369.64285714286
375.88,20545.464285714286
375.89,29011.60714285714
375.9,21106.0
375.91,16496.444444444445
375.92,19502.035714285714
375.93,21804.821428571428
375.94,20665.64285714286
375.95,27702.89285714286
375.96,16494.75
375.97,19571.0
375.98,14556.42857142857
375.99,18440.571428571428
376.0,19637.714285714286
376.01,22871.571428571428
376.02,23028.785714285714
376.03,23858.444444444445
376.04,19606.785714285714
376.05,28147.64285714286
376.06,21030.0
376.07,30075.25
376.08,24877.074074074073
376.09,26931.071428571428
376.1,27427.89285714286
376.11,21657.285714285714
376.12,28307.25
376.13,20528.321428571428
376.14,16862.925925925927
376.15,19690.928571428572
376.16,28783.85714285714
376.17,28189.964285714286
376.18,25698.571428571428
376.19,23389.74074074074
376.2,20965.821428571428
376.21,29060.25
376.22,23183.85714285714
376.23,24061.285714285714
376.24,30483.59259259259
376.25,27035.785714285714
376.26,22081.428571428572
376.27,28182.678571428572
376.28,17794.85714285714
376.29,16620.185185185186
376.3,16749.714285714286
376.31,27750.321428571428
376.32,22796.964285714286
376.33,29039.59259259259
376.34,33540.25
376.35,23338.321428571428
376.36,27046.428571428572
376.37,19901.571428571428
376.38,13409.111111111111
376.39,16015.535714285714
376.4,29061.714285714286
376.41,35160.57142857143
376.42,24377.296296296296
376.43,23210.75
376.44,19938.321428571428
376.45,27240.071428571428
376.46,24179.74074074074
376.47,15455.107142857143
376.48,27516.321428571428
376.49,20830.85714285714
376.5,20608.74074074074
376.51,20990.428571428572
376.52,19458.821428571428
376.53,13845.17857142857
376.54,32728.555555555555
376.55,20350.5
376.56,30596.214285714286
376.57,26401.821428571428
376.58,18557.11111111111
376.59,26518.714285714286
376.6,25352.285714285714
376.61,16450.214285714286
376.62,22558.555555555555
376.63,24300.5
376.64,28340.75
376.65,15015.392857142857
376.66,26461.185185185186
376.67,27359.714285714286
376.68,24574.785714285714
376.69,26287.75
376.7,24221.14814814815
376.71,23482.428571428572
376.72,31597.035714285714
376.73,19823.296296296296
376.74,28513.821428571428
376.75,26614.714285714286
376.76,27110.25
376.77,22705.74074074074
376.78,15144.035714285714
376.79,21366.678571428572
376.8,17211.59259259259
376.81,30048.75
376.82,22420.678571428572
376.83,25632.75
376.84,29898.88888888889
376.85,19730.5
376.86,23314.821428571428
376.87,22839.48148148148
376.88,17067.214285714286
376.89,24847.321428571428
